Participant,Posture,Direction-1,Direction-2,Direction-3,Direction-4,Direction-5,Direction-6,Direction-7,Direction-8
1,Lying,225,180,315,135,270,45,0,90
1,Standing,225,180,315,135,270,45,0,90
2,Lying,0,90,225,180,315,135,270,45
2,Standing,0,90,225,180,315,135,270,45
3,Standing,0,90,225,180,315,135,270,45
3,Lying,0,90,225,180,315,135,270,45
4,Standing,90,225,180,315,135,270,45,0
4,Lying,90,225,180,315,135,270,45,0
5,Standing,225,180,315,135,270,45,0,90
5,Lying,225,180,315,135,270,45,0,90
6,Lying,135,270,45,0,90,225,180,315
6,Standing,135,270,45,0,90,225,180,315
7,Lying,45,0,90,225,180,315,135,270
7,Standing,45,0,90,225,180,315,135,270
8,Lying,315,135,270,45,0,90,225,180
8,Standing,315,135,270,45,0,90,225,180
9,Lying,270,45,0,90,225,180,315,135
9,Standing,270,45,0,90,225,180,315,135
10,Standing,135,270,45,0,90,225,180,315
10,Lying,135,270,45,0,90,225,180,315
11,Standing,180,315,135,270,45,0,90,225
11,Lying,180,315,135,270,45,0,90,225
12,Lying,180,315,135,270,45,0,90,225
12,Standing,180,315,135,270,45,0,90,225
13,Standing,270,45,0,90,225,180,315,135
13,Lying,270,45,0,90,225,180,315,135
14,Standing,45,0,90,225,180,315,135,270
14,Lying,45,0,90,225,180,315,135,270
15,Lying,90,225,180,315,135,270,45,0
15,Standing,90,225,180,315,135,270,45,0
16,Standing,315,135,270,45,0,90,225,180
16,Lying,315,135,270,45,0,90,225,180
